time,buyer,seller,price,qty
0,10,1,85.30886227342252,1
0,11,1,85.30886227342252,1
0,12,1,85.30886227342252,1
0,10,1,84.98329491459805,2
0,11,2,89.92819787366646,5
1,12,2,93.52734039214099,4
2,10,1,95.34548290342408,1
2,2,10,120.8888481173203,2
2,10,3,89.02561324877429,1
2,11,3,89.02561324877429,2
2,12,3,89.02561324877429,1
3,10,1,89.2878652495139,1
3,11,1,89.2878652495139,1
3,12,1,89.2878652495139,1
4,1,10,107.40433797858049,1
4,1,11,107.40433797858049,1
4,1,12,107.40433797858049,1
4,3,11,105.05450434601643,2
4,3,12,105.05450434601643,1
5,10,1,85.12622323280664,1
5,2,12,106.53440306502333,1
6,6,10,102.10913087338477,1
6,7,11,102.10913087338477,1
6,8,12,102.10913087338477,1
6,9,2,102.2084270397803,1
7,1,2,113.4731839910863,1
7,10,2,99.14979259792159,1
8,11,1,89.60106149297783,1
8,12,1,89.60106149297783,1
8,11,1,89.58701393066389,1
8,12,1,89.58701393066389,1
8,2,10,101.82184410332036,1
8,2,11,101.82184410332036,1
8,2,12,101.82184410332036,1
8,2,10,102.04104905245822,2
8,12,3,75.88927041954024,1
8,12,3,75.61151042136309,1
8,2,3,75.3873324754565,2
9,1,10,101.70363592930174,1
9,2,3,75.3927845908101,3
9,11,3,75.21040760388755,2
10,10,1,79.55263440425773,4
10,2,11,117.28402242841284,1
10,3,12,123.39339901633,1
10,3,10,123.63315959595869,3
11,10,2,76.36759262997349,1
11,11,2,76.36759262997349,1
11,12,2,76.36759262997349,1
11,10,2,76.25915246163667,1
11,11,2,76.25915246163667,1
12,1,10,123.72564266479534,2
12,1,11,123.72564266479534,1
12,2,11,110.01954221992119,1
12,2,12,110.01954221992119,2
13,1,3,77.41050601424779,2
13,10,3,77.3259513413026,1
13,11,3,77.3259513413026,1
14,12,1,79.54986002801759,1
14,11,1,79.42975860436135,2
14,11,3,97.36997423942981,2
16,10,6,100.00138908232563,1
16,11,7,100.00138908232563,1
16,12,8,100.00138908232563,1
16,12,9,99.8924463454945,1
17,10,1,79.45528356353974,1
17,11,1,79.45528356353974,1
17,12,1,79.45528356353974,1
17,12,3,99.21564020826838,1
18,1,10,103.34689278593848,1
18,1,11,103.34689278593848,1
18,1,12,103.34689278593848,1
18,2,10,118.38389722182956,1
19,10,3,83.73534476283439,1
19,11,3,83.73534476283439,1
19,12,3,83.73534476283439,1
19,12,3,83.62836909248749,2
20,1,11,118.22411152862607,1
20,1,12,118.22411152862607,1
20,1,10,118.27166158975635,2
20,10,2,98.01651563682864,1
20,11,2,98.01651563682864,1
20,12,2,98.01651563682864,1
20,3,11,101.9927497464252,2
20,3,12,101.9927497464252,2
23,2,10,114.03812247215899,1
23,10,3,90.45141831006008,1
23,11,3,90.45141831006008,1
23,12,3,90.45141831006008,1
24,1,11,112.46233605938664,1
24,1,12,112.46233605938664,1
24,1,10,112.70807757263027,3
24,10,2,78.04957021696782,1
25,10,1,77.8639168031689,1
25,11,1,77.8639168031689,1
25,12,1,77.8639168031689,1
25,11,2,87.88427970600551,1
25,12,2,87.88427970600551,1
25,10,2,87.85085941383895,1
25,11,2,87.85085941383895,1
25,3,10,122.15543475258413,3
26,3,10,105.79948981563656,2
26,3,11,105.79948981563656,2
26,3,12,105.79948981563656,1
28,1,10,103.1417487087188,1
28,1,11,103.1417487087188,1
28,1,12,103.1417487087188,1
28,1,12,103.19670067041459,1
28,2,10,118.37346582469911,3
29,1,10,116.93718301032415,1
29,1,11,116.93718301032415,4
29,10,2,78.46838133319426,1
30,3,10,103.91592324593084,2
30,3,11,103.91592324593084,1
31,1,10,124.13424314172693,1
31,1,11,124.13424314172693,1
31,6,12,108.73009519106262,1
31,6,11,108.77626015097107,1
31,6,12,108.77626015097107,2
31,7,11,108.96091999060485,4
31,8,11,108.96091999060485,4
31,9,11,108.96091999060485,4
32,1,10,123.58739161883483,1
32,2,11,101.32747644326291,1
32,2,12,101.32747644326291,1
32,2,11,101.56984248278225,2
32,3,12,120.16926441806665,5
33,11,1,97.62226086631009,1
33,12,2,96.7030524875413,1
33,3,10,118.1080709492739,1
33,3,11,118.1080709492739,1
33,3,12,118.1080709492739,1
33,3,12,118.3533222987875,1
34,6,10,105.82472206447042,1
34,6,11,105.82472206447042,1
34,7,12,105.82472206447042,1
34,7,12,106.0706947414826,1
34,8,12,106.0706947414826,2
34,9,12,106.0706947414826,2
35,1,12,108.10373789136317,4
38,1,10,113.69342376737379,1
38,1,11,113.69342376737379,1
38,1,12,113.69342376737379,1
38,10,2,83.73876404615322,1
39,11,2,81.35444916287554,1
39,12,3,82.74619673274947,1
40,1,10,102.90904247519754,1
40,1,11,102.90904247519754,1
40,1,12,102.90904247519754,1
40,1,10,102.92349980727492,1
40,1,11,102.92349980727492,1
40,10,3,88.74824207580954,1
42,10,3,95.0927678307967,1
42,11,3,95.0927678307967,1
42,12,3,95.0927678307967,1
43,10,1,83.12636612675945,1
43,11,1,83.12636612675945,1
43,12,1,83.12636612675945,1
43,2,10,108.32016019761684,1
43,2,11,108.32016019761684,1
43,2,12,108.32016019761684,1
43,2,12,108.33498504570284,1
44,10,1,87.72620477480638,1
44,11,1,87.72620477480638,1
44,12,3,82.50799689844214,1
45,3,10,108.76367491723065,1
45,3,11,108.76367491723065,1
45,3,12,108.76367491723065,1
45,3,10,108.80949657766652,1
45,11,6,92.97355291841151,1
45,12,6,92.97355291841151,1
45,10,6,92.96664393820298,1
