t,price
0,100.0315956908828
1,99.8201617747493
2,99.76730329571592
3,99.75408867595758
4,99.750785021018
5,99.7377023993605
6,99.75297376645071
7,99.74696297531347
8,99.74927811930169
9,99.74835420751444
10,99.74870201556469
11,99.74853652659128
12,99.74858210636049
13,99.74859350130279
14,99.74858783577648
15,99.74858926813047
16,99.7485882098374
17,99.74858794526412
18,99.7485878791208
19,99.74858786258497
20,99.74858786928709
21,99.74858786682867
22,99.7485878678896
23,99.74858786754022
24,99.7485878677181
25,99.74858786811195
26,99.74858786781817
27,99.74858786774473
28,99.74858786772637
29,99.7485878676773
30,99.74858786771158
31,99.74847945266472
32,99.74847945266472
33,99.74847945266472
34,99.74813164461449
35,99.74842381193974
36,99.74842381193974
37,99.74842381193974
38,99.74813164461449
39,99.74842381193974
40,99.74842381193974
41,99.36836225201417
42,99.36839975201417
43,99.36844141868085
44,99.36847891868084
45,99.36850391868083
46,99.3685205853475
47,99.36853725201416
48,99.36857891868084
49,99.36854975201418
50,99.36851641868084
51,99.35592475201418
52,99.34962891868085
53,99.34649350201417
54,99.3449049603475
55,99.34412735618085
56,99.34371772076418
57,99.1576676949282
58,99.15770102826153
59,99.15774686159486
60,99.22900749933746
61,99.24538243754694
62,99.24083444364213
63,99.2437911797183
64,99.25051857886831
65,99.24581439906768
66,99.24389917009849
67,99.24466535171257
68,99.2443780898738
69,99.25690204711587
70,99.24755699366845
71,99.2452207303066
72,99.2324923607738
73,99.24166523219114
74,99.24395845004548
75,99.24453175450907
76,99.24435951055968
77,99.24445977568823
78,99.24448484197036
79,99.24447311383568
80,99.24447644837255
81,99.24447434997309
82,99.24447382537323
83,99.24447400325761
84,99.24447391657874
85,99.24447393938013
86,99.24447392341077
87,99.24447391941843
88,99.24447391842034
89,99.24447391888073
90,99.24447391874631
91,99.24429505159505
92,99.24429505159505
93,99.24372174713146
94,99.24423587586654
95,99.2443644080503
96,99.2443644080503
97,99.2443644080503
98,99.2443644080503
99,99.2443644080503
100,99.23190666345585
101,99.22716099522881
102,99.2247881611153
103,99.22428369194347
104,99.22428369194347
105,99.22589918659872
106,99.16563580360739
107,99.24211567017215
108,99.28050451028489
109,99.30115036380684
110,99.31615465648491
111,99.30360465648491
112,99.29729632315158
113,99.29417548981824
114,99.29260673981824
115,99.3180032459162
116,99.33070983229851
117,99.33705895882301
118,99.34022518875193
119,99.34179997038305
120,99.53266475238678
121,99.6280888100599
122,99.67579250556312
123,99.69965268666644
124,99.71158151778224
125,99.71754176667346
126,99.7205177244524
127,99.72200153667521
128,99.7227607391591
129,99.77294016897159
130,99.85914643274637
131,99.80916685953
132,99.82157331280484
133,99.82777653944228
134,99.83088231942766
135,99.83242687608701
136,99.83319082108335
137,99.83358112691485
138,100.15307170960037
139,100.34208945659537
140,100.48842669373622
141,100.4718291008937
142,100.47619877650722
143,100.47314179719997
144,100.47237755237316
145,100.47218649116645
146,100.47227583873465
147,100.47225041032502
148,100.47226639011465
149,100.42399766247388
150,100.41049725198067
151,100.39108770594768
152,100.36698545839604
153,100.34134520498556
154,100.31649017229495
155,100.29125118270443
156,100.23252567635254
157,100.00842314799975
158,99.8836020135605
159,99.82100482191137
160,99.78932463556114
161,99.77117003256532
162,99.75871025816073
163,99.72846791014834
164,99.69112867619326
165,99.66961666063993
166,99.6577361003506
167,99.2174203288942
168,99.02746304221071
169,99.02039983926373
170,99.0168724044569
171,98.99200916439335
172,98.62900628397193
173,98.62902711730527
174,98.62906461730527
175,98.62911461730528
176,98.62912711730527
177,98.3857170559653
178,98.38579205596531
179,98.38587955596532
180,98.42248699782662
181,98.4407865520906
182,98.44081571875726
183,98.44084488542393
184,98.46837301845753
185,98.49129601188343
186,98.50275334192972
187,98.50848827153621
188,98.51135156967278
189,98.51278948332441
190,98.5272779374002
191,98.51468627073353
192,98.50840710406686
193,98.50527585406687
194,98.50372272906687
195,98.50294616656686
196,98.50255788531686
197,98.50235541135854
198,98.50224584104603
199,98.50219105588978
200,98.50216366331165
201,98.50221366331165
202,98.22032018623798
203,98.55307460559484
204,98.55869954598761
205,98.56454756380451
206,98.56465910251657
207,98.57016367473112
208,98.5729189425197
209,98.57428824308067
210,98.57498066498388
211,98.56239733165054
212,98.55611816498387
213,98.55297858165054
214,98.55140878998387
215,98.55062389415053
216,98.55023144623388
217,98.55003522227554
218,98.54994961029638
219,98.5499068043068
220,98.549885401312
221,98.54988303314794
222,98.54988184906591
223,98.37641882025287
224,98.46313724261837
225,98.12129870648909
226,98.53233887241157
227,98.5411014353644
228,98.54547438350747
229,98.54765252424568
230,98.54873326128146
231,98.53614159461479
232,98.52984576128145
233,98.52669784461479
234,98.52513638628145
235,98.52435565711478
236,98.52396529253144
237,98.52378261023978
238,98.52364543576061
239,98.52363518185436
240,98.52362588823456
241,98.52362124142468
242,98.52361475135307
243,98.52361567298392
244,98.52362030046602
245,98.52362261420707
246,98.52361543774427
247,98.52362793774427
248,98.53674180136407
249,98.55624494412558
250,98.56599651550633
251,98.55344651550632
252,98.54708401550633
253,98.54398193217298
254,98.54243089050632
255,98.54165536967298
256,98.54126760925632
257,98.55850368140503
258,98.56717239075412
259,98.57161641697815
260,98.57385708945823
261,98.57515310109582
262,98.57617727644588
263,98.57745836985006
264,98.57965777384382
265,98.58078976682577
266,98.54983000054085
267,98.56898214543924
268,98.19107362315086
269,98.4116326010089
270,98.52901223123557
271,98.51642889790224
272,98.51013723123557
273,98.50700389790224
274,98.5054455645689
275,98.50466639790224
276,98.50428514790224
277,98.60351652949575
278,98.91619180606783
279,98.94088374971264
280,98.9662989104181
281,98.9789981574375
282,98.98533944761387
283,98.96425287361797
284,98.97797513903743
285,98.98482793841383
286,98.98825017143537
287,98.98996962127947
288,98.99083767953485
289,98.99127587532921
290,98.99149913989305
291,98.97892830655971
292,98.97265122322638
293,98.9695251815597
294,98.96796216072637
295,98.9671806503097
296,98.96677739510137
297,98.9665757674972
298,98.96647495369513
299,98.96642454679409
300,98.96639934334357
301,98.96638674161831
302,98.96637210742234
303,98.96637210742234
304,98.97905558927295
305,98.98540983019825
306,98.98858278399425
307,98.9901609275589
308,98.9909541660079
309,98.99134245189907
310,98.99152826151132
311,98.97894076151132
312,98.97264701151133
313,98.96951263651133
314,98.96794544901132
315,98.96716185526132
316,98.60779361615482
317,98.78709843883307
318,98.87674251683886
319,98.9215103891751
320,98.94389432534321
321,98.95514046009393
322,98.96075519413596
323,98.97622629929643
324,98.98395351854333
325,98.98781296150011
326,99.01983164685441
327,99.265659365146
